HỆ THỐNG DỮ LIỆU LỘ TRÌNH CHI TIẾT & TỪ KHÓA ĐIỂM MỐC (SEARCH ENGINE & AUTOCOMPLETE INDEX),,,,,
"Cơ sở dữ liệu hỗ trợ công cụ tìm kiếm tự do điểm A - B theo tên đường, trường đại học, bệnh viện, ga metro, bến xe, chợ và trung tâm thương mại.",,,,,
route_id,direction_type,origin,destination,path_streets,key_landmarks
HS-06,Hai chiều,Bà Xán,Trường THPT Bình Khánh,Ấp Bà Xán - Đường Rừng Sác - Tam Thôn Hiệp - Cầu Dần Xây - Trường THPT Bình Khánh,"Bà Xán Cần Giờ, Rừng Sác, Trường THCS Bình Khánh, Trường THPT Bình Khánh"
05,Lượt đi,Bến xe buýt Chợ Lớn,Bến xe Biên Hòa,BX Chợ Lớn - Hồng Bàng - Ngô Gia Tự - Nguyễn Thị Minh Khai - Xô Viết Nghệ Tĩnh - Quốc lộ 13 - Kha Vạn Cân - Quốc lộ 1K - Bến xe Biên Hòa,"Bến xe Chợ Lớn, ĐH Khoa học Tự nhiên, Chợ Thị Nghè, Cầu Bình Triệu, Chợ Thủ Đức, Ga Dĩ An, Bến xe Biên Hòa Đồng Nai"
05,Lượt về,Bến xe Biên Hòa,Bến xe buýt Chợ Lớn,Bến xe Biên Hòa - Quốc lộ 1K - Kha Vạn Cân - Quốc lộ 13 - Đinh Bộ Lĩnh - Điện Biên Phủ - Đinh Tiên Hoàng - Nguyễn Thị Minh Khai - Ngô Gia Tự - Hồng Bàng - BX Chợ Lớn,"Bến xe Biên Hòa, Bến xe Miền Đông cũ, ĐH HUTECH, Thảo Cầm Viên, Bệnh viện Hùng Vương, Bến xe Chợ Lớn"
06,Lượt đi,Bến xe buýt Chợ Lớn,Đại học Nông Lâm,BX Chợ Lớn - Hồng Bàng - An Dương Vương - Nguyễn Văn Cừ - Lý Thái Tổ - Điện Biên Phủ - Xa lộ Hà Nội - Võ Nguyên Giáp - Đỗ Xuân Hợp - Lê Văn Việt - ĐH Sư phạm Kỹ thuật - ĐH Nông Lâm,"Bến xe Chợ Lớn, ĐH Sư Phạm TP.HCM, ĐH Sài Gòn, ĐH Kinh Tế TP.HCM, ĐH Quốc Tế Hồng Bàng, Ngã 4 Thủ Đức, ĐH Sư phạm Kỹ thuật, Trường ĐH Nông Lâm"
06,Lượt về,Đại học Nông Lâm,Bến xe buýt Chợ Lớn,ĐH Nông Lâm - Quốc lộ 1 - Võ Nguyên Giáp - Điện Biên Phủ - Đinh Tiên Hoàng - Võ Thị Sáu - CMT8 - Nguyễn Thị Minh Khai - Nguyễn Văn Cừ - Trần Phú - Trần Hưng Đạo - Châu Văn Liêm - BX Chợ Lớn,"ĐH Nông Lâm, KDL Suối Tiên, Ngã 4 Thủ Đức, ĐH HUTECH, ĐH KHXH&NV, Bệnh viện Chợ Rẫy, Bến xe Chợ Lớn"
07,Lượt đi,Bến xe buýt Chợ Lớn,Gò Vấp,BX Chợ Lớn - Ngô Quyền - Nguyễn Tri Phương - 3 Tháng 2 - Lý Chính Thắng - Hai Bà Trưng - Phan Đình Phùng - Nguyễn Kiệm - Nguyễn Thái Sơn - Phạm Ngũ Lão - Bãi hậu cần số 1 Gò Vấp,"Bến xe Chợ Lớn, Ga Sài Gòn, Lê Văn Sỹ, Bệnh viện An Sinh, Bệnh viện 175, Công viên Gia Định, Bãi hậu cần số 1 Gò Vấp"
07,Lượt về,Gò Vấp,Bến xe buýt Chợ Lớn,Bãi hậu cần Gò Vấp - Nguyễn Thái Sơn - Phan Văn Trị - Nguyễn Oanh - Phan Đình Phùng - Hai Bà Trưng - Trần Quốc Toản - Nam Kỳ Khởi Nghĩa - CMT8 - Nguyễn Tri Phương - Hồng Bàng - BX Chợ Lớn,"Bãi hậu cần Gò Vấp, Chợ Gò Vấp, Bệnh viện Quân y 175, Cầu Kiệu, Ga Sài Gòn, Bến xe Chợ Lớn"
08,Lượt đi,Bến xe buýt Quận 8,Đại học Quốc gia,BX Quận 8 - Tùng Thiện Vương - Cầu Chà Và - Hải Thượng Lãn Ông - Lý Thường Kiệt - Hoàng Văn Thụ - Phan Đăng Lưu - Bạch Đằng - Phạm Văn Đồng - Kha Vạn Cân - Võ Văn Ngân - ĐH Sư phạm Kỹ thuật - ĐH Quốc gia (Khu A),"Bến xe Quận 8, Chợ Kim Biên, ĐH Bách Khoa TP.HCM (Lý Thường Kiệt), Bệnh viện Thống Nhất, Chợ Bà Chiểu, Vincom Thủ Đức, Nhà văn hóa Sinh viên, Bến xe Khu A ĐH Quốc gia"
08,Lượt về,Đại học Quốc gia,Bến xe buýt Quận 8,ĐH Quốc gia (Khu A) - ĐHQG - Võ Văn Ngân - Kha Vạn Cân - Phạm Văn Đồng - Bạch Đằng - Phan Đăng Lưu - Hoàng Văn Thụ - Xuân Diệu - Lý Thường Kiệt - Hồng Bàng - Cầu Chà Và - BX Quận 8,"Khu đô thị ĐH Quốc gia, Chợ Thủ Đức, Ngã tư Phú Nhuận, ĐH Bách Khoa TP.HCM, Bệnh viện Chợ Rẫy, Bến xe Quận 8"
09,Lượt đi,Bến xe buýt Chợ Lớn,Bình Chánh - Hưng Long,BX Chợ Lớn - Hồng Bàng - Kinh Dương Vương - Quốc lộ 1 - Đinh Đức Thiện - Hương Lộ 11 - Bến xe Hưng Long Bình Chánh,"Bến xe Chợ Lớn, Bến xe Miền Tây, Vòng xoay An Lạc, Chợ Bình Chánh, UBND Xã Hưng Long"
09,Lượt về,Bình Chánh - Hưng Long,Bến xe buýt Chợ Lớn,Bến xe Hưng Long - Hương Lộ 11 - Đinh Đức Thiện - Quốc lộ 1 - Kinh Dương Vương - Hồng Bàng - Trang Tử - BX Chợ Lớn,"Bến Hưng Long, Chợ Bình Chánh, Bệnh viện Triều An, Bến xe Miền Tây, Bến xe Chợ Lớn"
10,Lượt đi,Đại học Quốc Gia,Bến xe Miền Tây,BX ĐH Quốc Gia - Võ Nguyên Giáp - Cầu Sài Gòn - Điện Biên Phủ - Đinh Tiên Hoàng - Võ Thị Sáu - 3 Tháng 2 - Lê Hồng Phong - Hồng Bàng - Hậu Giang - Kinh Dương Vương - BX Miền Tây,"Bến xe ĐH Quốc Gia, KDL Suối Tiên, Pearl Plaza, ĐH Kinh Tế TP.HCM, Bệnh viện Nhi Đồng 1, Chợ Cây Gõ, Bến xe Miền Tây"
10,Lượt về,Bến xe Miền Tây,Đại học Quốc Gia,BX Miền Tây - Kinh Dương Vương - Hồng Bàng - 3 Tháng 2 - Lý Chính Thắng - Hai Bà Trưng - Điện Biên Phủ - Võ Nguyên Giáp - BX ĐH Quốc Gia,"Bến xe Miền Tây, Bệnh viện Chợ Rẫy, Nhà hát Hòa Bình, Hàng Xanh, Masteri An Phú, Ga ĐH Quốc Gia"
100,Hai chiều,Bến xe Củ Chi,Cầu Tân Thái,Bến xe Củ Chi - Quốc lộ 22 - Tỉnh lộ 7 - Ngã tư Phước Thạnh - Cầu Tân Thái (ranh Tây Ninh),"Bến xe Củ Chi, Chợ Phước Thạnh, Trường THPT Quang Trung Củ Chi, Cầu Tân Thái Thái Mỹ"
101,Hai chiều,Bến xe buýt Chợ Lớn,Chợ Tân Nhựt,BX Chợ Lớn - Chu Văn An - Phạm Văn Chí - Cầu Phạm Văn Chí - Võ Văn Kiệt - Quốc lộ 1 - Thế Lữ - Chợ Tân Nhựt Bình Chánh,"Bến xe Chợ Lớn, Cầu Lò Gốm, Đại lộ Võ Văn Kiệt, Bệnh viện Nhi đồng Thành phố, Chợ Tân Nhựt Bình Chánh"
102,Lượt đi,Bến xe buýt Sài Gòn,Bến xe Miền Tây,Bến xe Sài Gòn - Phạm Ngũ Lão - Nguyễn Tất Thành - Cầu Tân Thuận 2 - Nguyễn Văn Linh - TTTM Bình Điền - Quốc lộ 1 - Kinh Dương Vương - BX Miền Tây,"Bến xe Sài Gòn, Cảng Sài Gòn, ĐH RMIT, ĐH Tôn Đức Thắng, VivoCity, Crescent Mall, Chợ Đầu mối Bình Điền, Bến xe Miền Tây"
102,Lượt về,Bến xe Miền Tây,Bến xe buýt Sài Gòn,BX Miền Tây - Kinh Dương Vương - Quốc lộ 1 - Nguyễn Văn Linh - Huỳnh Tấn Phát - Nguyễn Tất Thành - Hàm Nghi - Bến xe Sài Gòn,"Bến xe Miền Tây, TTTM Bình Điền, KDC Phú Mỹ Hưng, Bệnh viện FV, Cầu Khánh Hội, Bến xe Sài Gòn"
103,Lượt đi,Bến xe buýt Chợ Lớn,Bến xe Ngã tư Ga,BX Chợ Lớn - Lý Thường Kiệt - Hoàng Văn Thụ - Phan Đình Giót - Trường Sơn - Ga Quốc tế/Quốc nội TSN - Bạch Đằng - Nguyễn Kiệm - Quang Trung - Bến xe Ngã Tư Ga,"Bến xe Chợ Lớn, ĐH Bách Khoa, Sân bay Tân Sơn Nhất (Ga T1/T2), Công viên Gia Định, Chợ Hạnh Thông Tây, Bến xe Ngã Tư Ga"
103,Lượt về,Bến xe Ngã tư Ga,Bến xe buýt Chợ Lớn,BX Ngã Tư Ga - Quốc lộ 1 - Quang Trung - Nguyễn Kiệm - Bạch Đằng - Sân bay Tân Sơn Nhất - Hoàng Văn Thụ - Lý Thường Kiệt - Hồng Bàng - BX Chợ Lớn,"Bến xe Ngã Tư Ga, Chợ Gò Vấp, Sân bay Tân Sơn Nhất, Bệnh viện Thống Nhất, Bến xe Chợ Lớn"
104,Lượt đi,Bến xe An Sương,Bến xe buýt Văn Thánh,BX An Sương - Trường Chinh - KCN Tân Bình - Cộng Hòa - Hoàng Văn Thụ - Phan Đăng Lưu - Bạch Đằng - Điện Biên Phủ - Bến xe Văn Thánh,"Bến xe An Sương, KCN Tân Bình, Pico Plaza, Ngã tư Phú Nhuận, Chợ Bà Chiểu, ĐH HUTECH, Ga Văn Thánh"
104,Lượt về,Bến xe buýt Văn Thánh,Bến xe An Sương,BX Văn Thánh - Điện Biên Phủ - Đinh Bộ Lĩnh - Bạch Đằng - Phan Đăng Lưu - Hoàng Văn Thụ - Cộng Hòa - Trường Chinh - BX An Sương,"Bến xe Văn Thánh, Hàng Xanh, Bệnh viện Gia Định, Lotte Mart Tân Bình, Bến xe An Sương"
107,Hai chiều,Bến xe Củ Chi,Bố Heo,Bến xe Củ Chi - Quốc lộ 22 - Tỉnh lộ 7 - Hương lộ 2 - Bến đò Bố Heo Củ Chi,"Bến xe Củ Chi, Ngã tư Phước Thạnh, UBND Xã Trung Lập Hạ, Bến đò Bố Heo"
109,Hai chiều,Bến xe buýt Sài Gòn,Sân bay Tân Sơn Nhất,Bến xe Sài Gòn - Lê Lai - Phạm Hồng Thái - Cách Mạng Tháng 8 - Nguyễn Thị Minh Khai - Nam Kỳ Khởi Nghĩa - Nguyễn Văn Trỗi - Bạch Đằng - Ga Quốc nội & Ga Quốc tế (Nhà ga T3),"Bến xe Sài Gòn, Công viên 23/9, Chợ Bến Thành, Dinh Độc Lập, Viện Pastuer, Ga Sài Gòn, Sân bay Tân Sơn Nhất (Nhà ga T3)"
110,Hai chiều,Hiệp Phước,Phước Lộc,Bến xe Cầu Kênh Lộ - Nguyễn Văn Tạo - KCN Hiệp Phước - Lê Văn Lương - Cầu Long Kiểng - Bến đò Bảy Bé (Ấp 3 Phước Lộc Nhà Bè),"Bến xe Kênh Lộ, KCN Long Hậu Hiệp Phước, Cầu Rạch Tôm, Cầu Long Kiểng, Bến đò Bảy Bé Phước Lộc Nhà Bè"
122,Hai chiều,Bến xe An Sương,Tân Quy,Bến xe An Sương - Quốc lộ 22 - Bà Triệu - Đỗ Văn Dậy - Tỉnh lộ 15 - Chợ Tân Quy - Bến xe buýt Tân Quy Củ Chi,"Bến xe An Sương, Chợ Hóc Môn, Chùa Hoằng Pháp, Ngã 3 Tân Quy, Bến xe Tân Quy Củ Chi"
126,Hai chiều,Bến xe Củ Chi,Bình Mỹ,Bến xe Củ Chi - Tỉnh lộ 8 - Cầu vượt Củ Chi - Tân Quy - Bình Mỹ - Bến đò Bình Mỹ (ranh Bình Dương),"Bến xe Củ Chi, Chợ Tân Quy, KCN Đông Nam, Bến đò Bình Mỹ Thủ Dầu Một"
127,Hai chiều,An Thới Đông,Ngã ba Bà Xán,Bến đò An Thới Đông - Đường Rừng Sác - Tam Thôn Hiệp - Ngã ba Bà Xán Cần Giờ,"Bến đò An Thới Đông, Rừng Ngập mặn Cần Giờ, Tam Thôn Hiệp, Ngã ba Bà Xán"
128,Hai chiều,Tân Điền,An Nghĩa,Trạm y tế Tân Điền - Đường Lý Nhơn - Cầu Vàm Sát 2 - Đường Rừng Sác - Trường THPT An Nghĩa,"Trạm y tế Tân Điền, Khu du lịch sinh thái Vàm Sát, Cầu Vàm Sát 2, THPT An Nghĩa Cần Giờ"
13,Lượt đi,Bến xe buýt Sài Gòn,Bến xe Củ Chi,Bến xe Sài Gòn - Cách Mạng Tháng Tám - Hoàng Văn Thụ - Xuân Diệu - Trường Chinh - Quốc lộ 22 - Bến xe Củ Chi,"Bến xe Sài Gòn, Công viên Tao Đàn, Ngã 4 Bảy Hiền, Bến xe An Sương, Cầu An Hạ, TT Củ Chi, Bến xe Củ Chi"
13,Lượt về,Bến xe Củ Chi,Bến xe buýt Sài Gòn,Bến xe Củ Chi - Quốc lộ 22 - Trường Chinh - Cách Mạng Tháng Tám - Nguyễn Thị Nghĩa - Lê Lai - Bến xe Sài Gòn,"Bến xe Củ Chi, KCN Tây Bắc, Bến xe An Sương, Bệnh viện Thống Nhất, Công viên 23/9, Bến xe Sài Gòn"
139,Hai chiều,Bến xe Miền Tây,Khu Tái Định Cư Phú Mỹ,BX Miền Tây - Kinh Dương Vương - Hồng Bàng - Nguyễn Văn Cừ - Cầu Ông Lãnh - Hoàng Diệu - Khánh Hội - Nguyễn Hữu Thọ - Phạm Hữu Lầu - Chung cư Kỷ Nguyên Phú Mỹ,"Bến xe Miền Tây, ĐH Sư Phạm TP.HCM, ĐH Cảnh Sát Nhân Dân, Lotte Mart Quận 7, KDC Kỷ Nguyên Phú Mỹ"
14,Lượt đi,Bến xe Miền Đông,Bến xe Miền Tây,Bến xe Miền Đông cũ - Đinh Bộ Lĩnh - Bạch Đằng - Xô Viết Nghệ Tĩnh - Nguyễn Thị Minh Khai - 3 Tháng 2 - Hồng Bàng - Kinh Dương Vương - BX Miền Tây,"Bến xe Miền Đông, Hàng Xanh, Thảo Cầm Viên, ĐH Y Dược TP.HCM, Bệnh viện Hùng Vương, Chợ Phú Lâm, Bến xe Miền Tây"
14,Lượt về,Bến xe Miền Tây,Bến xe Miền Đông,BX Miền Tây - Kinh Dương Vương - Hồng Bàng - 3 Tháng 2 - Nguyễn Thị Minh Khai - Xô Viết Nghệ Tĩnh - Quốc lộ 13 - BX Miền Đông cũ,"Bến xe Miền Tây, Bệnh viện Chợ Rẫy, Bệnh viện Từ Dũ, ĐH KHXH&NV, Bến xe Miền Đông"
140,Hai chiều,Bến xe buýt Sài Gòn,Khu dân cư Phú Lợi,Bến xe Sài Gòn - Phạm Thế Hiển - Cầu Nhị Thiên Đường - Quốc lộ 50 - Nguyễn Văn Linh - Đường D2 - KDC Phú Lợi Q8,"Bến xe Sài Gòn, Chợ Xóm Củi, Bệnh viện Quận 8, Đại học Văn Hiến, KDC Phú Lợi"
141,Hai chiều,Khu du lịch BCR,KCX Linh Trung II,KDL The BCR - Tam Đa - Nguyễn Duy Trinh - Lã Xuân Oai - Lê Văn Việt - Ngã tư Thủ Đức - Tô Ngọc Vân - Cổng sau KCX Linh Trung II,"KDL The BCR, ĐH Giao thông Vận tải (Cơ sở 2), Vincom Plaza Lê Văn Việt, Ga Thủ Đức, Ngã tư Thủ Đức, KCX Linh Trung 2"
145,Hai chiều,Bến xe buýt Chợ Lớn,Chợ Hiệp Thành,BX Chợ Lớn - Lý Thường Kiệt - Hoàng Văn Thụ - Trường Chinh - Ngã tư Trung Chánh - Nguyễn Ảnh Thủ - Bến xe Hiệp Thành Q12,"Bến xe Chợ Lớn, ĐH Bách Khoa, Bệnh viện Thống Nhất, Ngã tư An Sương, Chợ Trung Chánh, Bến xe Hiệp Thành"
146,Hai chiều,Bến xe Miền Đông,Chợ Hiệp Thành,Bến xe Miền Đông cũ - Nơ Trang Long - Phan Đăng Lưu - Hoàng Văn Thụ - Nguyễn Văn Nghi - Lê Đức Thọ - Nguyễn Văn Quá - Bến xe Hiệp Thành,"Bến xe Miền Đông, Bệnh viện Ung Bướu, Chợ Gò Vấp, Chợ Cầu, Bến xe Hiệp Thành"
148,Hai chiều,Bến xe Miền Tây,Gò Vấp,BX Miền Tây - Hậu Giang - Minh Phụng - Bình Thới - Lạc Long Quân - Lý Thường Kiệt - Hoàng Văn Thụ - Nguyễn Thái Sơn - Bãi hậu cần số 1 Gò Vấp,"Bến xe Miền Tây, Chợ Cây Gõ, Đầm Sen, ĐH Bách Khoa, Sân bay Tân Sơn Nhất, Công viên Gia Định, Bãi hậu cần Gò Vấp"
15,Hai chiều,Chợ Phú Định,Đầm Sen,Chợ Phú Định - An Dương Vương - Hồ Học Lãm - Quốc lộ 1 - Hương Lộ 2 - Hòa Bình - Công viên Văn hóa Đầm Sen,"Chợ Phú Định, THPT Chuyên NK TTDTT Nguyễn Thị Định, Bệnh viện Bình Tân, CVVH Đầm Sen"
150,Lượt đi,Bến xe buýt Chợ Lớn,Bến xe Miền Đông mới,BX Chợ Lớn - Hồng Bàng - An Dương Vương - Trần Phú - Điện Biên Phủ - Cầu Sài Gòn - Võ Nguyên Giáp - Xa lộ Hà Nội - BX Miền Đông mới,"Bến xe Chợ Lớn, ĐH Sư Phạm, ĐH Kinh Tế TP.HCM, Pearl Plaza, Ga Thảo Điền, Ga Bình Thái, Ga Suối Tiên, Bến xe Miền Đông mới"
150,Lượt về,Bến xe Miền Đông mới,Bến xe buýt Chợ Lớn,BX Miền Đông mới - Xa lộ Hà Nội - Võ Nguyên Giáp - Cầu Sài Gòn - Điện Biên Phủ - Đinh Tiên Hoàng - Võ Thị Sáu - CMT8 - Nguyễn Tri Phương - BX Chợ Lớn,"Bến xe Miền Đông mới, Suối Tiên, Ga Thủ Đức, Hàng Xanh, Chợ Bến Thành, Bệnh viện Chợ Rẫy, Bến xe Chợ Lớn"
151,Hai chiều,Bến xe Miền Tây,Bến xe An Sương,BX Miền Tây - Kinh Dương Vương - Hồ Học Lãm - Quốc lộ 1 - Ngã tư Bà Điểm - BX An Sương,"Bến xe Miền Tây, Bệnh viện Triều An, Vòng xoay An Lạc, KCN Tân Tạo, Ngã tư An Sương, Bến xe An Sương"
152,Hai chiều,KDC Trung Sơn,Sân bay Tân Sơn Nhất,KDC Trung Sơn - Cầu Kênh Xáng - Dương Bá Trạc - Cầu Nguyễn Văn Cừ - Trần Hưng Đạo - Bến Thành - Pasteur - Nam Kỳ Khởi Nghĩa - Nguyễn Văn Trỗi - Sân bay TSN (Ga T1/T2),"KDC Trung Sơn, ĐH Sài Gòn, Chợ Bến Thành, Dinh Độc Lập, Viện Pasteur, Bệnh viện Mêkông, Sân bay Tân Sơn Nhất"
153,Hai chiều,Bến tàu thủy Bình An,Đường Liên Phường,Bến tàu thủy Bình An - Trần Não - Thảo Điền - Mai Chí Thọ - Cao tốc HCM-LT-GD - Đỗ Xuân Hợp - Đường Liên Phường Thủ Đức,"Bến tàu thủy Bình An, Ga Thảo Điền, Masteri An Phú, Chung cư The Sun Avenue, Global City, Đường Liên Phường"
154,Hai chiều,ĐH Quản lý & Công nghệ (UMT),Masteri An Phú,ĐH UMT - Nguyễn Thị Định - Đồng Văn Cống - Mai Chí Thọ - Xa lộ Hà Nội - Masteri An Phú Thảo Điền,"ĐH UMT, TTHC TP Thủ Đức, KDC Văn Minh, The Sun Avenue, Vincom Mega Mall Thảo Điền, Ga An Phú"
155,Vòng tròn,Ga Bến Thành,Ga Nhà hát TP,Ga Bến Thành - Hàm Nghi - Tôn Đức Thắng - Cầu Khánh Hội - Bến Vân Đồn - Cầu Calmette - Nam Kỳ Khởi Nghĩa - Lê Lợi - Ga Nhà hát TP - Ga Bến Thành,"Ga Bến Thành, Chợ Bến Thành, Bến Vân Đồn, Bến Bạch Đằng, Ga Nhà hát Thành phố, Phố đi bộ Nguyễn Huệ"
156D/V,Hai chiều,Ga Bến Thành,Bệnh viện Mắt TP.HCM,Ga Bến Thành - Phạm Hồng Thái - CMT8 - Ga Sài Gòn (Ga Hòa Hưng) - Nguyễn Thông - Bà Huyện Thanh Quan - Bệnh viện Mắt TP.HCM,"Ga Bến Thành, Ga Sài Gòn (Hòa Hưng), Bệnh viện Mắt TP.HCM, ĐH Sài Gòn Cơ sở 3, Chợ Vườn Chuối"
157,Hai chiều,Bến xe buýt Văn Thánh,KDC Thạnh Mỹ Lợi,Bến xe Văn Thánh - Ga Thảo Điền - Trần Não - Mai Chí Thọ - Đồng Văn Cống - KDC Thạnh Mỹ Lợi Thủ Đức,"Bến xe Văn Thánh, Ga Văn Thánh, Ga Thảo Điền, Đảo Kim Cương, TTHC TP Thủ Đức, KDC Thạnh Mỹ Lợi"
158,Hai chiều,Bến xe buýt Văn Thánh,Cư xá Thanh Đa,Bến xe Văn Thánh - Ga Tân Cảng - Điện Biên Phủ - D2 (Nguyễn Gia Trí) - Ung Văn Khiêm - Cư xá Thanh Đa Bình Thạnh,"Bến xe Văn Thánh, Ga Tân Cảng, Pearl Plaza, ĐH Ngoại Thương CS2, ĐH HUTECH, Cư xá Thanh Đa"
159,Hai chiều,Ga Văn Thánh,Ga Tân Cảng,Ga Văn Thánh - Điện Biên Phủ - Cầu Sài Gòn - Ga Tân Cảng - Landmark 81 - Ga Văn Thánh,"Ga Metro Văn Thánh, ĐH Quốc Tế Hồng Bàng, Ga Metro Tân Cảng, Landmark 81 Vinhomes Central Park"
16,Hai chiều,Bến xe buýt Chợ Lớn,Bến xe buýt Tân Phú,BX Chợ Lớn - Hồng Bàng - Tân Hòa Đông - Mã Lò - Hương Lộ 2 - Lê Trọng Tấn - Bến xe buýt Tân Phú,"Bến xe Chợ Lớn, Chợ Bình Trị Đông, Bệnh viện Bình Tân, ĐH Công Thương TP.HCM, Bến xe Tân Phú"
160,Hai chiều,Ga Văn Thánh,Vinhomes Central Park,Ga Văn Thánh - Điện Biên Phủ - Nguyễn Hữu Cảnh - Vinhomes Central Park - Pearl Plaza,"Ga Metro Văn Thánh, Pearl Plaza, Vinhomes Central Park, Bệnh viện Đa khoa Quốc tế Vinmec"
