stop_id,stop_name,stop_name_en,lat,lon,is_hub,city_id
R19_S2,Xa lộ Hà Nội - Trạm 1 (tuyến 19),Ha Noi Highway - Stop 1 (Route 19),10.79038,106.71884,0,hcmc
R19_S3,Xa lộ Hà Nội - Trạm 2 (tuyến 19),Ha Noi Highway - Stop 2 (Route 19),10.80836,106.73968,0,hcmc
R19_S4,Xa lộ Hà Nội - Trạm 3 (tuyến 19),Ha Noi Highway - Stop 3 (Route 19),10.82634,106.76052,0,hcmc
R19_S5,Xa lộ Hà Nội - Trạm 4 (tuyến 19),Ha Noi Highway - Stop 4 (Route 19),10.84432,106.78136,0,hcmc
SUOI_TIEN,Khu du lịch Suối Tiên,Suoi Tien Tourist Park,10.8623,106.8022,1,hcmc
R19_S7,Xa lộ Hà Nội - Trạm 1 (tuyến 19),Ha Noi Highway - Stop 1 (Route 19),10.86384,106.80236,0,hcmc
R19_S8,Xa lộ Hà Nội - Trạm 2 (tuyến 19),Ha Noi Highway - Stop 2 (Route 19),10.86538,106.80252,0,hcmc
R19_S9,Xa lộ Hà Nội - Trạm 3 (tuyến 19),Ha Noi Highway - Stop 3 (Route 19),10.86692,106.80268,0,hcmc
R19_S10,Xa lộ Hà Nội - Trạm 4 (tuyến 19),Ha Noi Highway - Stop 4 (Route 19),10.86846,106.80284,0,hcmc
R30_S2,Lý Thường Kiệt - Trường Chinh - Trạm 1 (tuyến 30),Ly Thuong Kiet - Truong Chinh St. - Stop 1 (Route 30),10.7667,106.6514,0,hcmc
R30_S3,Lý Thường Kiệt - Trường Chinh - Trạm 2 (tuyến 30),Ly Thuong Kiet - Truong Chinh St. - Stop 2 (Route 30),10.7841,106.6516,0,hcmc
R30_S4,Lý Thường Kiệt - Trường Chinh - Trạm 3 (tuyến 30),Ly Thuong Kiet - Truong Chinh St. - Stop 3 (Route 30),10.8015,106.6518,0,hcmc
TSN,Sân bay Tân Sơn Nhất,Tan Son Nhat Airport,10.8189,106.652,1,hcmc
R152_S2,Trường Sơn - Nguyễn Văn Trỗi - Trạm 1 (tuyến 152),Truong Son - Nguyen Van Troi St. - Stop 1 (Route 152),10.807275,106.6635,0,hcmc
R152_S3,Trường Sơn - Nguyễn Văn Trỗi - Trạm 2 (tuyến 152),Truong Son - Nguyen Van Troi St. - Stop 2 (Route 152),10.79565,106.675,0,hcmc
R152_S4,Trường Sơn - Nguyễn Văn Trỗi - Trạm 3 (tuyến 152),Truong Son - Nguyen Van Troi St. - Stop 3 (Route 152),10.784025,106.6865,0,hcmc
R88_S2,Nguyễn Hữu Thọ - Trạm 1 (tuyến 88),Nguyen Huu Tho St. - Stop 1 (Route 88),10.761575,106.703075,0,hcmc
R88_S3,Nguyễn Hữu Thọ - Trạm 2 (tuyến 88),Nguyen Huu Tho St. - Stop 2 (Route 88),10.75075,106.70815,0,hcmc
R88_S4,Nguyễn Hữu Thọ - Trạm 3 (tuyến 88),Nguyen Huu Tho St. - Stop 3 (Route 88),10.739925,106.713225,0,hcmc
PMH,Khu đô thị Phú Mỹ Hưng,Phu My Hung Urban Area,10.7291,106.7183,1,hcmc
MIEN_DONG,Bến xe Miền Đông mới,New Mien Dong Bus Station,10.8657,106.7735,1,hcmc
R93_S2,Điện Biên Phủ - Trạm 1 (tuyến 93),Dien Bien Phu St. - Stop 1 (Route 93),10.84704,106.7584,0,hcmc
R93_S3,Điện Biên Phủ - Trạm 2 (tuyến 93),Dien Bien Phu St. - Stop 2 (Route 93),10.82838,106.7433,0,hcmc
R93_S4,Điện Biên Phủ - Trạm 3 (tuyến 93),Dien Bien Phu St. - Stop 3 (Route 93),10.80972,106.7282,0,hcmc
R93_S5,Điện Biên Phủ - Trạm 4 (tuyến 93),Dien Bien Phu St. - Stop 4 (Route 93),10.79106,106.7131,0,hcmc
R93_S7,Điện Biên Phủ - Trạm 1 (tuyến 93),Dien Bien Phu St. - Stop 1 (Route 93),10.76588,106.682,0,hcmc
R93_S8,Điện Biên Phủ - Trạm 2 (tuyến 93),Dien Bien Phu St. - Stop 2 (Route 93),10.75936,106.666,0,hcmc
R93_S9,Điện Biên Phủ - Trạm 3 (tuyến 93),Dien Bien Phu St. - Stop 3 (Route 93),10.75284,106.65,0,hcmc
R93_S10,Điện Biên Phủ - Trạm 4 (tuyến 93),Dien Bien Phu St. - Stop 4 (Route 93),10.74632,106.634,0,hcmc
MIEN_TAY,Bến xe Miền Tây,Mien Tay Bus Station,10.7398,106.618,1,hcmc
R45_S2,Cách Mạng Tháng 8 - Trạm 1 (tuyến 45),Cach Mang Thang 8 St. - Stop 1 (Route 45),10.768233,106.692733,0,hcmc
R45_S3,Cách Mạng Tháng 8 - Trạm 2 (tuyến 45),Cach Mang Thang 8 St. - Stop 2 (Route 45),10.764067,106.687467,0,hcmc
SU_PHAM,Đại học Sư Phạm TP.HCM,HCMC University of Education,10.7599,106.6822,1,hcmc
R36_S2,Hùng Vương - Trạm 1 (tuyến 36),Hung Vuong St. - Stop 1 (Route 36),10.7471,106.6367,0,hcmc
R36_S3,Hùng Vương - Trạm 2 (tuyến 36),Hung Vuong St. - Stop 2 (Route 36),10.7544,106.6554,0,hcmc
R36_S4,Hùng Vương - Trạm 3 (tuyến 36),Hung Vuong St. - Stop 3 (Route 36),10.7617,106.6741,0,hcmc
CV_23_9,Công viên 23/9,23/9 Park,10.769,106.6928,1,hcmc
R36_S6,Hùng Vương - Trạm 1 (tuyến 36),Hung Vuong St. - Stop 1 (Route 36),10.76985,106.6941,0,hcmc
R36_S7,Hùng Vương - Trạm 2 (tuyến 36),Hung Vuong St. - Stop 2 (Route 36),10.7707,106.6954,0,hcmc
R36_S8,Hùng Vương - Trạm 3 (tuyến 36),Hung Vuong St. - Stop 3 (Route 36),10.77155,106.6967,0,hcmc
BX_BIEN_HOA,Bến xe Biên Hòa,Bien Hoa Bus Station,10.942,106.846,1,bienhoa
BH01_S2,Cách Mạng Tháng Tám - Trạm 1 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 1 (Route BH-01),10.9407,106.8469,0,bienhoa
BH01_S3,Cách Mạng Tháng Tám - Trạm 2 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 2 (Route BH-01),10.9394,106.8478,0,bienhoa
BH01_S4,Cách Mạng Tháng Tám - Trạm 3 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 3 (Route BH-01),10.9381,106.8487,0,bienhoa
GA_BIEN_HOA,Ga Biên Hòa,Bien Hoa Railway Station,10.9368,106.8496,1,bienhoa
BH01_S6,Cách Mạng Tháng Tám - Trạm 1 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 1 (Route BH-01),10.938775,106.843075,0,bienhoa
BH01_S7,Cách Mạng Tháng Tám - Trạm 2 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 2 (Route BH-01),10.94075,106.83655,0,bienhoa
BH01_S8,Cách Mạng Tháng Tám - Trạm 3 (tuyến BH-01),Cach Mang Thang Tam St. - Stop 3 (Route BH-01),10.942725,106.830025,0,bienhoa
CHO_BIEN_HOA,Chợ Biên Hòa,Bien Hoa Market,10.9447,106.8235,1,bienhoa
BH02_S2,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 1 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 1 (Route BH-02),10.949533,106.852733,0,bienhoa
BH02_S3,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 2 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 2 (Route BH-02),10.962267,106.855867,0,bienhoa
TRUONG_NGUYEN_TRI_PHUONG,Trường Nguyễn Tri Phương (đường Nguyễn Ái Quốc),Nguyen Tri Phuong School (Nguyen Ai Quoc St.),10.975,106.859,1,bienhoa
BH02_S5,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 1 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 1 (Route BH-02),10.964,106.854667,0,bienhoa
BH02_S6,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 2 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 2 (Route BH-02),10.953,106.850333,0,bienhoa
BH02_S8,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 1 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 1 (Route BH-02),10.944333,106.840333,0,bienhoa
BH02_S9,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 2 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 2 (Route BH-02),10.946667,106.834667,0,bienhoa
CV_BIEN_HUNG,Công viên Biên Hùng,Bien Hung Park,10.949,106.829,1,bienhoa
BH02_S11,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 1 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 1 (Route BH-02),10.949,106.830333,0,bienhoa
BH02_S12,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 2 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 2 (Route BH-02),10.949,106.831667,0,bienhoa
DH_DONG_NAI,Đại học Đồng Nai,Dong Nai University,10.949,106.833,1,bienhoa
BH02_S14,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 1 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 1 (Route BH-02),10.9511,106.8247,0,bienhoa
BH02_S15,Nguyễn Ái Quốc - Huỳnh Văn Nghệ - Trạm 2 (tuyến BH-02),Nguyen Ai Quoc - Huynh Van Nghe St. - Stop 2 (Route BH-02),10.9532,106.8164,0,bienhoa
DH_LAC_HONG,Đại học Lạc Hồng,Lac Hong University,10.9553,106.8081,1,bienhoa
NGA_TU_VUNG_TAU,Ngã tư Vũng Tàu,Vung Tau Junction,10.9633,106.8636,1,bienhoa
BH03_S2,Đồng Khởi - Trạm 1 (tuyến BH-03),Dong Khoi St. - Stop 1 (Route BH-03),10.96185,106.861575,0,bienhoa
BH03_S3,Đồng Khởi - Trạm 2 (tuyến BH-03),Dong Khoi St. - Stop 2 (Route BH-03),10.9604,106.85955,0,bienhoa
BH03_S4,Đồng Khởi - Trạm 3 (tuyến BH-03),Dong Khoi St. - Stop 3 (Route BH-03),10.95895,106.857525,0,bienhoa
KCN_BIEN_HOA_2,Khu công nghiệp Biên Hòa 2,Bien Hoa Industrial Park 2,10.9575,106.8555,1,bienhoa
BH03_S6,Đồng Khởi - Trạm 1 (tuyến BH-03),Dong Khoi St. - Stop 1 (Route BH-03),10.952325,106.854025,0,bienhoa
BH03_S7,Đồng Khởi - Trạm 2 (tuyến BH-03),Dong Khoi St. - Stop 2 (Route BH-03),10.94715,106.85255,0,bienhoa
BH03_S8,Đồng Khởi - Trạm 3 (tuyến BH-03),Dong Khoi St. - Stop 3 (Route BH-03),10.941975,106.851075,0,bienhoa
BH04_S2,Đồng Khởi - Trạm 1 (tuyến BH-04),Dong Khoi St. - Stop 1 (Route BH-04),10.945775,106.825875,0,bienhoa
BH04_S3,Đồng Khởi - Trạm 2 (tuyến BH-04),Dong Khoi St. - Stop 2 (Route BH-04),10.94685,106.82825,0,bienhoa
BH04_S4,Đồng Khởi - Trạm 3 (tuyến BH-04),Dong Khoi St. - Stop 3 (Route BH-04),10.947925,106.830625,0,bienhoa
BH04_S6,Đồng Khởi - Trạm 1 (tuyến BH-04),Dong Khoi St. - Stop 1 (Route BH-04),10.948325,106.8344,0,bienhoa
BH04_S7,Đồng Khởi - Trạm 2 (tuyến BH-04),Dong Khoi St. - Stop 2 (Route BH-04),10.94765,106.8358,0,bienhoa
BH04_S8,Đồng Khởi - Trạm 3 (tuyến BH-04),Dong Khoi St. - Stop 3 (Route BH-04),10.946975,106.8372,0,bienhoa
BV_DONG_NAI,Bệnh viện Đa khoa Đồng Nai,Dong Nai General Hospital,10.9463,106.8386,1,bienhoa
KCN_BIEN_HOA_1,Khu công nghiệp Biên Hòa 1,Bien Hoa Industrial Park 1,10.931,106.833,1,bienhoa
BH05_S2,Bùi Văn Hòa - Đồng Khởi - Trạm 1 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 1 (Route BH-05),10.9355,106.832,0,bienhoa
BH05_S3,Bùi Văn Hòa - Đồng Khởi - Trạm 2 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 2 (Route BH-05),10.94,106.831,0,bienhoa
BH05_S4,Bùi Văn Hòa - Đồng Khởi - Trạm 3 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 3 (Route BH-05),10.9445,106.83,0,bienhoa
BH05_S6,Bùi Văn Hòa - Đồng Khởi - Trạm 1 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 1 (Route BH-05),10.949,106.832375,0,bienhoa
BH05_S7,Bùi Văn Hòa - Đồng Khởi - Trạm 2 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 2 (Route BH-05),10.949,106.83575,0,bienhoa
BH05_S8,Bùi Văn Hòa - Đồng Khởi - Trạm 3 (tuyến BH-05),Bui Van Hoa - Dong Khoi St. - Stop 3 (Route BH-05),10.949,106.839125,0,bienhoa
VINCOM_BIEN_HOA,Vincom Plaza Biên Hòa,Vincom Plaza Bien Hoa,10.949,106.8425,1,bienhoa
KG_HUB_RACHGIA,Bến xe Rạch Giá,Ben xe Rach Gia,10.018717,105.083044,1,kiengiang
KG02_ID39,Km0+250 Nguyễn Bỉnh Khiêm,Km0+250 Nguyen Binh Khiem,10.022064,105.07999,0,kiengiang
KG02_ID40,Km0+500 Nguyễn Bỉnh Khiêm,Km0+500 Nguyen Binh Khiem,10.022338,105.07974,0,kiengiang
KG02_ID46,Km12+550 số 782,Km12+550 so 782,10.035547,105.067689,0,kiengiang
KG02_ID47,Km12+850,Km12+850,10.035876,105.067389,0,kiengiang
KG02_ID151,Trạm trước Honda Diệp Bình Km45+500,Tram truoc Honda Diep Binh Km45+500,10.071666,105.034734,0,kiengiang
KG02_ID41,Nhà chờ gần Cây xăng số 2,Nha cho gan Cay xang so 2,10.088547,105.019332,0,kiengiang
KG02_ID42,"Km121+300, số 426","Km121+300, so 426",10.154757,104.958924,0,kiengiang
KG02_ID43,"Km121+300, số 426","Km121+300, so 426",10.154757,104.958924,0,kiengiang
KG02_ID44,Km122,Km122,10.155524,104.958224,0,kiengiang
KG02_ID45,Km122+200,Km122+200,10.155743,104.958024,0,kiengiang
KG02_ID48,Gần km123+100,Gan km123+100,10.15673,104.957124,0,kiengiang
KG02_ID49,Số 1044 gần Km123+450,So 1044 gan Km123+450,10.157114,104.956774,0,kiengiang
KG02_ID50,Trạm trước Phế liệu Phát Đạt số 1164,Tram truoc Phe lieu Phat Dat so 1164,10.157278,104.956624,0,kiengiang
KG02_ID51,Km123+750,Km123+750,10.157442,104.956474,0,kiengiang
KG02_ID52,Km124+500,Km124+500,10.158265,104.955724,0,kiengiang
KG02_ID53,Trạm trước Uốn tóc Như Thảo số 38,Tram truoc Uon toc Nhu Thao so 38,10.158621,104.955398,0,kiengiang
KG02_ID54,Trạm gần Km125+150,Tram gan Km125+150,10.158977,104.955073,0,kiengiang
KG02_ID55,Km125+900,Km125+900,10.159799,104.954323,0,kiengiang
KG02_ID56,Trạm trước Honda Thành Tâm gần Km126+400,Tram truoc Honda Thanh Tam gan Km126+400,10.160347,104.953823,0,kiengiang
KG02_ID57,Nhà chờ Km126+900,Nha cho Km126+900,10.160895,104.953323,0,kiengiang
KG02_ID58,Trạm gần Km127+400,Tram gan Km127+400,10.161444,104.952823,0,kiengiang
KG02_ID59,Trạm gần Km128,Tram gan Km128,10.162101,104.952223,0,kiengiang
KG02_ID60,Km128+300,Km128+300,10.16243,104.951923,0,kiengiang
KG02_ID61,Km128+950,Km128+950,10.163143,104.951273,0,kiengiang
KG02_ID62,Trạm đối diện doanh trại quân đội gần Km129+500,Tram doi dien doanh trai quan doi gan Km129+500,10.163746,104.950723,0,kiengiang
KG02_ID63,Km130,Km130,10.164294,104.950223,0,kiengiang
KG02_ID64,Trạm đối diện Trường Trung học Mỹ Hưng,Tram doi dien Truong Trung hoc My Hung,10.164732,104.949823,0,kiengiang
KG02_ID65,Km130+800,Km130+800,10.165171,104.949423,0,kiengiang
KG02_ID66,Km131+500,Km131+500,10.165938,104.948723,0,kiengiang
KG02_ID67,Km131+900,Km131+900,10.166376,104.948323,0,kiengiang
KG02_ID68,Trạm đối diện gần Km132+500,Tram doi dien gan Km132+500,10.167034,104.947722,0,kiengiang
KG02_ID69,Trạm gần Km133,Tram gan Km133,10.167582,104.947222,0,kiengiang
KG02_ID72,Trạm gần Km133+500,Tram gan Km133+500,10.16813,104.946722,0,kiengiang
KG02_ID70,Trạm gần Km133+600 Kho Hải Sơn,Tram gan Km133+600 Kho Hai Son,10.16824,104.946622,0,kiengiang
KG02_ID71,Km134,Km134,10.168678,104.946222,0,kiengiang
KG02_ID73,Nhà chờ trước Bưu điện Sóc Xoài,Nha cho truoc Buu dien Soc Xoai,10.169309,104.945647,0,kiengiang
KG02_ID74,Trạm gần Km135+650 Honda Bảy Xem,Tram gan Km135+650 Honda Bay Xem,10.170487,104.944572,0,kiengiang
KG02_ID75,Trạm gần Km135+850,Tram gan Km135+850,10.170706,104.944372,0,kiengiang
KG02_ID131,Trạm đối diện Km136+200 tạp hóa Minh Trí,Tram doi dien Km136+200 tap hoa Minh Tri,10.17109,104.944022,0,kiengiang
KG02_ID132,Trạm đối diện Km136+400,Tram doi dien Km136+400,10.171309,104.943822,0,kiengiang
KG02_ID133,Trạm gần Km136+900,Tram gan Km136+900,10.171857,104.943322,0,kiengiang
KG02_ID134,Trạm đối diện Km137+500,Tram doi dien Km137+500,10.172515,104.942722,0,kiengiang
KG02_ID135,Trạm đối diện Trường TH Sơn Kiên,Tram doi dien Truong TH Son Kien,10.173173,104.942122,0,kiengiang
KG02_ID136,Trạm gần Km138+700,Tram gan Km138+700,10.17383,104.941522,0,kiengiang
KG02_ID137,Trạm trước Cà phê Quỳnh Nga Km139,Tram truoc Ca phe Quynh Nga Km139,10.174159,104.941222,0,kiengiang
KG02_ID138,Trạm gần Km139+400,Tram gan Km139+400,10.174598,104.940821,0,kiengiang
KG02_ID139,Km140,Km140,10.175255,104.940221,0,kiengiang
KG02_ID140,Km140+350,Km140+350,10.175639,104.939871,0,kiengiang
KG02_ID141,Km141,Km141,10.176352,104.939221,0,kiengiang
KG02_ID142,Trạm gần Km141+500 Phân bón Vạn Lợi,Tram gan Km141+500 Phan bon Van Loi,10.1769,104.938721,0,kiengiang
KG02_ID143,Trạm gần Km142,Tram gan Km142,10.177448,104.938221,0,kiengiang
KG02_ID144,Trạm gần Km142+500,Tram gan Km142+500,10.177996,104.937721,0,kiengiang
KG02_ID145,Km143,Km143,10.178544,104.937221,0,kiengiang
KG02_ID146,Trạm đối diện gần Km143+500,Tram doi dien gan Km143+500,10.179092,104.936721,0,kiengiang
KG02_ID147,Trạm đối diện Km143+700,Tram doi dien Km143+700,10.179311,104.936521,0,kiengiang
KG02_ID148,Trạm gần đối diện Km144+200,Tram gan doi dien Km144+200,10.179859,104.936021,0,kiengiang
KG02_ID149,Trạm đối diện Nghĩa trang Hòn Đất,Tram doi dien Nghia trang Hon Dat,10.180298,104.935621,0,kiengiang
KG02_ID150,Trạm gần Km145,Tram gan Km145,10.180736,104.935221,0,kiengiang
KG02_ID152,Nhà chờ gần Km145+800,Nha cho gan Km145+800,10.181613,104.934421,0,kiengiang
KG02_ID153,Km146,Km146,10.181833,104.934221,0,kiengiang
KG02_ID154,Km146+500,Km146+500,10.182381,104.93372,0,kiengiang
KG02_ID155,Km146+800,Km146+800,10.18271,104.93342,0,kiengiang
KG_HUB_TRITON,Bến xe Tri Tôn,Ben xe Tri Ton,10.186056,104.930367,1,kiengiang
KG_HUB_DUONGDONG,Bến xe Dương Đông,Ben xe Duong Dong,10.182596,103.972223,1,kiengiang
KG07_ID12,Điểm dừng đón - trả khách - Điểm 01,Diem dung don - tra khach - Diem 01,10.182297,103.972248,0,kiengiang
KG07_ID13,Điểm dừng đón - trả khách - Điểm 02,Diem dung don - tra khach - Diem 02,10.179425,103.972481,0,kiengiang
KG07_ID14,Điểm dừng đón - trả khách - Điểm 03,Diem dung don - tra khach - Diem 03,10.176553,103.972715,0,kiengiang
KG07_ID15,Điểm dừng đón - trả khách - Điểm 04,Diem dung don - tra khach - Diem 04,10.173682,103.972948,0,kiengiang
KG07_ID16,Điểm dừng đón - trả khách - Điểm 05,Diem dung don - tra khach - Diem 05,10.17081,103.973182,0,kiengiang
KG07_ID17,Điểm dừng đón - trả khách - Điểm 06,Diem dung don - tra khach - Diem 06,10.167938,103.973416,0,kiengiang
KG_HUB_DUONGTO,Bến xe Dương Tơ,Ben xe Duong To,10.167639,103.97344,1,kiengiang
KG_HUB_KIENLUONG,Bến xe Kiên Lương,Ben xe Kien Luong,10.252648,104.596348,1,kiengiang
KG01_ID257,Đối diện Km140+300,Doi dien Km140+300,10.251316,104.603028,0,kiengiang
KG01_ID258,Đối diện Km140+700,Doi dien Km140+700,10.250668,104.606275,0,kiengiang
KG01_ID256,Trạm trước Nhà máy phân bón Thiên Giang,Tram truoc Nha may phan bon Thien Giang,10.244114,104.639153,0,kiengiang
KG01_ID254,Trạm đối diện gần Km148+650,Tram doi dien gan Km148+650,10.237802,104.670813,0,kiengiang
KG01_ID255,Đối diện Km149+200,Doi dien Km149+200,10.236912,104.675277,0,kiengiang
KG01_ID259,Trạm gần đối diện Km151+400,Tram gan doi dien Km151+400,10.233351,104.693137,0,kiengiang
KG01_ID260,Trạm gần đối diện Km151+700,Tram gan doi dien Km151+700,10.232866,104.695572,0,kiengiang
KG01_ID261,Đối diện Km152,Doi dien Km152,10.23238,104.698008,0,kiengiang
KG01_ID263,Trạm gần đối diện Km152+300,Tram gan doi dien Km152+300,10.231895,104.700443,0,kiengiang
KG01_ID262,Trạm gần đối diện Km152+500,Tram gan doi dien Km152+500,10.231571,104.702067,0,kiengiang
KG01_ID264,Trạm gần đối diện Km153+500,Tram gan doi dien Km153+500,10.229953,104.710185,0,kiengiang
KG01_ID265,Trạm gần đối diện Km154,Tram gan doi dien Km154,10.229143,104.714244,0,kiengiang
KG01_ID266,Trạm gần đối diện Km154+300,Tram gan doi dien Km154+300,10.228658,104.716679,0,kiengiang
KG01_ID267,Trạm gần đối diện Km154+500,Tram gan doi dien Km154+500,10.228334,104.718303,0,kiengiang
KG01_ID268,Trạm gần đối diện Km155,Tram gan doi dien Km155,10.227525,104.722362,0,kiengiang
KG01_ID269,Trạm gần đối diện Km155+500,Tram gan doi dien Km155+500,10.226716,104.726421,0,kiengiang
KG01_ID270,Trạm trước Tiểu học Bình Sơn 3,Tram truoc Tieu hoc Binh Son 3,10.226014,104.729938,0,kiengiang
KG01_ID271,Trạm trước Trường Mẫu giáo Bình Sơn,Tram truoc Truong Mau giao Binh Son,10.225313,104.733456,0,kiengiang
KG01_ID272,Km156+800,Km156+800,10.224612,104.736974,0,kiengiang
KG01_ID273,Trạm gần đối diện Km157+400,Tram gan doi dien Km157+400,10.223641,104.741845,0,kiengiang
KG01_ID274,Trạm đối diện Km158,Tram doi dien Km158,10.22267,104.746715,0,kiengiang
KG01_ID253,Trạm trước Nông ngư Cơ Thanh Trung,Tram truoc Nong ngu Co Thanh Trung,10.222144,104.749354,0,kiengiang
KG01_ID275,Km158+500,Km158+500,10.22186,104.750774,0,kiengiang
KG01_ID276,Trạm đối diện Km159,Tram doi dien Km159,10.221051,104.754833,0,kiengiang
KG01_ID277,Trạm đối diện Km159+500,Tram doi dien Km159+500,10.220242,104.758892,0,kiengiang
KG01_ID278,Trạm đối diện Km160,Tram doi dien Km160,10.219433,104.762951,0,kiengiang
KG01_ID279,Trạm đối diện Km160+500,Tram doi dien Km160+500,10.218624,104.76701,0,kiengiang
KG01_ID280,Trạm đối diện Km161,Tram doi dien Km161,10.217814,104.771069,0,kiengiang
KG01_ID281,Trạm trước Tiệm cơm Nhật Trường khu vực chợ Vàm Rẫy,Tram truoc Tiem com Nhat Truong khu vuc cho Vam Ray,10.217005,104.775128,0,kiengiang
KG01_ID282,Nhà chờ trước Tiểu học Bình Sơn 1,Nha cho truoc Tieu hoc Binh Son 1,10.216196,104.779187,0,kiengiang
KG01_ID283,Trạm sau đường lên cầu Tám Ngàn,Tram sau duong len cau Tam Ngan,10.215387,104.783246,0,kiengiang
KG01_ID284,Trạm gần đối diện Km163,Tram gan doi dien Km163,10.214578,104.787305,0,kiengiang
KG01_ID285,Trạm gần đối diện Km163+400,Tram gan doi dien Km163+400,10.21393,104.790552,0,kiengiang
